1803;AV SERTORIO 473;3337-3042;-51.19992067539000000;-29.99996990572600000
1804;R LAURO MULLER 560;3374-2070;-51.19737267539000000;-29.99714590572600000
1805;AV PRAIA DE BELAS 1181;;-51.22805267539000000;-30.04980390572600000
1806;R PROF SARMENTO BARATA 360;3337-2140;-51.19402067539000000;-29.99787990572600000
1807;TRAVESSA TUIUTY 10;;-51.22390067539000000;-30.03347190572600000
1808;R AUGUSTO SEVERO 801;;-51.18770467539000000;-29.99996790572600000
1809;R DOM PEDRO II 1551;;-51.18632767539000000;-30.02055590572600000
1810;AV A J RENNER 1603;3374-1663;-51.19240467539000000;-29.98202990572600000
1811;TRES DE ABRIL S/N;3341-4593;-51.17830367539000000;-30.01472790572600000
1812;R MARECHAL JOSE INACIO DA SILVA 17;3341-8280;-51.17866267539000000;-30.00895690572600000
1813;AV AZENHA 366;;-51.21381767539000000;-30.04732590572600000
1814;AV PLINIO BRASIL MILANO 2175;;-51.17179267539000000;-30.01617190572600000
1815;AV PLINIO BRASIL MILANO 2343;3341-0629;-51.17030467539000000;-30.01208690572600000
